玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
秋日限定保底,顶级3,488.0,base,fixed,7.763023,6.453252,7.629362,6.479109,9.215306,1.0,7.880833,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级3,488.0,search,fixed,7.277714,6.269343,7.191194,6.350629,8.358287,1.0,5.792667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级4,888.0,pressure,fixed,7.510675,5.863966,7.380401,6.340359,8.838454,1.0,18.8135,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级4,888.0,base,fixed,6.739986,5.602509,6.668319,6.002896,7.567554,1.0,12.453333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级4,888.0,search,fixed,6.344235,5.464562,6.297076,5.799514,6.962888,1.0,9.189667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级5,1688.0,pressure,fixed,7.562859,5.903234,7.492163,6.797754,8.437651,1.0,36.071333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级5,1688.0,base,fixed,6.856963,5.699035,6.818237,6.402913,7.367488,1.0,24.0925,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级5,1688.0,search,fixed,6.508489,5.603992,6.483222,6.189959,6.864824,1.0,17.978667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王1,288.0,pressure,fixed,7.856766,6.130088,7.4705,4.917854,11.592283,1.0,6.406667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王1,288.0,base,fixed,6.132528,5.099032,6.016059,4.006625,8.608066,1.0,3.668333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王1,288.0,search,fixed,5.436142,4.680572,5.227219,3.718593,7.414512,1.0,2.569667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王2,788.0,pressure,fixed,6.193756,4.837851,5.954547,4.642408,8.035436,1.0,13.738833,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王2,788.0,base,fixed,5.214489,4.335834,5.114073,4.328649,6.234599,1.0,8.531333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王2,788.0,search,fixed,4.754325,4.09546,4.681274,4.096269,5.48962,1.0,6.109333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王3,1088.0,pressure,fixed,6.944023,5.420577,6.754899,5.562153,8.549615,1.0,21.328333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王3,1088.0,base,fixed,5.900226,4.904429,5.82498,5.155451,6.736324,1.0,13.357667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,魔王3,1088.0,search,fixed,5.41771,4.665941,5.367847,4.909692,5.992802,1.0,9.626833,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
保底出红单,同格数2件,288.0,pressure,pairs,39.651507,30.938469,35.494224,13.83524,71.26024,1.0,32.327,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同格数2件,288.0,base,pairs,18.372789,15.27545,16.198512,7.436892,32.001592,1.0,10.988167,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同格数2件,288.0,search,pairs,12.522605,10.792341,10.921855,6.031804,21.265467,1.0,5.853,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
保底出红单,同格数2组,520.0,pressure,pairs,37.535308,29.270229,34.997524,17.817118,60.49691,0.9995,55.443667,海报8.19–9.20已过期、续期未知；同种配对使用有限类别模型。
